CustomerID,Name,Email,Age,Gender,Location,ProductID,Category,Subcategory,Price,Weight,Dimensions,OrderID,Date_Order,TotalAmount,ShippingMethod,Status,InventoryID,StockLevel,RestockThreshold,LastRestockDate,WarehouseID,Location_warehouse,Capacity,SupplierID,Company,Location_Supplier,QualityScore
33,Kevin Price,oevans@example.net,61,Female,Reedborough,13,Electronics,Headphones,428.18,5.37,47x32x49,33,13/09/2020,£1251.84,Two-day,Delivered,33,188,431,2020-12-23,339,Phillipsside,10896,0,Johnson-Rodriguez,Port Robynmouth,
34,Kelsey Cole,evan36@example.net,54,Female,Johnberg,6,Furniture,Chairs,177.16,23.71,29x3x28,34,28/06/2021,$134.86,Standard,Delivered,34,175,148,2022-02-13,479,Victortown,17609,0,Johnson-Rodriguez,Port Robynmouth,
35,Cynthia Horton,martinashley@example.com,43,Female,East Tracytown,0,Electronics,Smart Watches,513.1,1.94,29x14x37,35,26/06/2021,€690.96,Standard,Delivered,35,787,181,2022-02-02,258,Staceyfort,11290,9,Johnson-Rodriguez,Katherineborough,7.81
36,Jason Velasquez,joshua16@example.net,26,Female,Port Isaiahshire,10,Electronics,Laptops,942.14,22.05,24x31x45,36,08-11-2021,£4679.6,Two-day,Pending,36,722,497,2021-05-14,461,North Monicastad,19832,2,Miller-Pearson,Clarkmouth,9.83
37,Robert Edwards,taylorjohnson@example.org,49,Male,North Daniel,0,Electronics,Smart Watches,609.85,23.55,11x43x5,37,02/12/2020,€2975.68,Standard,Delivered,37,120,188,2022-04-19,310,New Lisa,18875,7,Miller Group,Clarkmouth,6.56
38,Matthew Braun,adrianjones@example.org,62,Male,North Tammy,2,Electronics,Mobile Phones,952.27,2.52,7x21x18,38,08-09-2021,£2949.03,Express,Shipped,38,365,375,2021-04-28,243,East Evan,17827,8,Parks-Gallegos,Jenkinsside,6.82
39,Amy Douglas,bishopanne@example.org,60,Male,Christopherfurt,11,Clothing,Hats,360.44,45.51,13x23x29,39,12-17-2020,$2971.11,Express,Pending,39,571,243,2021-11-13,409,East Courtney,14381,4,"Salas, Gonzalez and Todd",Jessicashire,2.35
40,Anna Ballard,qelliott@example.com,33,Male,Barbaramouth,0,Electronics,Smart Watches,467.85,41.33,23x48x9,40,13/08/2022,£3758.68,Two-day,Delivered,40,868,486,2022-05-31,227,Jenniferborough,8982,8,Parks-Gallegos,Jenkinsside,6.82
41,Kathleen Daugherty,shanemay@example.net,27,Male,Hallstad,9,Furniture,Beds,737.52,0.53,41x7x25,41,2022-03-22,$639.56,Express,Delivered,41,627,278,2021-09-21,300,Lopezfurt,13746,2,Miller-Pearson,Clarkmouth,9.83
42,Aaron Avila,briancervantes@example.com,65,Male,West Ryanmouth,8,Clothing,Shoes,29.0,8.74,24x29x23,42,07-17-2021,€910.65,Two-day,Cancelled,42,805,394,2020-09-08,321,North Vanessa,12259,5,Morgan LLC,Port Robynmouth,1.23
43,Nancy Thompson,michelleanderson@example.com,43,Female,South Josephfurt,11,Clothing,Hats,272.87,6.82,27x37x21,43,2020-09-17,$515.82,Express,Shipped,43,974,323,2021-01-22,29,New Allison,17525,5,Morgan LLC,Port Robynmouth,1.23
44,Rachel Jenkins,jguerrero@example.net,34,Female,East Amybury,2,Electronics,Mobile Phones,140.13,44.88,23x12x41,44,28/04/2022,$2068.02,Two-day,Cancelled,44,797,481,2022-04-27,359,New Michaelhaven,9972,5,Morgan LLC,Port Robynmouth,1.23
45,Andrew May,thompsondawn@example.org,54,Female,Anthonyside,3,Furniture,Cabinets,680.79,25.88,22x46x18,45,2023-06-02,$1539.6,Standard,Pending,45,121,162,2021-02-16,332,East Richardview,18143,4,"Salas, Gonzalez and Todd",Jessicashire,2.35
46,Christine Roberts,dshannon@example.org,41,Male,Hullchester,6,Furniture,Chairs,194.07,25.28,23x26x35,46,2021-02-19,$4151.15,Express,Shipped,46,857,480,2021-10-26,291,Dannyport,11559,2,Miller-Pearson,Clarkmouth,9.83
47,Chad Zamora,kshelton@example.com,19,Male,New Matthewton,12,Clothing,Dresses,233.1,5.62,29x46x38,47,02-12-2022,$653.28,Two-day,Delivered,47,822,112,2021-09-20,1,North Samantha,11291,0,Johnson-Rodriguez,Port Robynmouth,
48,Calvin Alvarado,gloverryan@example.org,30,Female,Reeseside,48,Clothing,Jeans,399.79,32.24,50x3x35,48,2021-09-29,€4383.75,Two-day,Pending,48,453,378,2020-09-02,54,Jasonborough,15745,2,Miller-Pearson,Clarkmouth,9.83
49,Jaime Chapman,ashley20@example.org,23,Male,South Katherine,21,Furniture,Sofas,321.05,3.86,19x9x30,49,06-15-2021,€1724.36,Two-day,Delivered,49,99,283,2021-07-14,164,Austinland,7259,1,"Salas, Gonzalez and Todd",Patriciaberg,8.21
50,Paul Schmidt,jason64@example.org,23,Male,Greenburgh,21,Furniture,Sofas,73.5,39.4,24x8x3,50,2020-09-18,$3397.44,Express,Shipped,50,453,328,2021-05-11,268,Chasefurt,16822,0,Johnson-Rodriguez,Port Robynmouth,
51,Kimberly Nelson,coffeyadam@example.org,59,Male,Port Terrencechester,9,Furniture,Beds,910.48,26.64,3x5x19,51,2021-05-20,€2317.25,Two-day,Delivered,51,359,378,2022-01-12,353,Heatherside,11833,0,Johnson-Rodriguez,Port Robynmouth,
52,Tara Perez,travis39@example.com,25,Female,North Charlesmouth,9,Furniture,Beds,356.04,44.5,28x14x3,52,2023-01-16,$1597.11,Standard,Shipped,52,405,405,2021-06-06,336,Martinezport,17218,7,Miller Group,Clarkmouth,6.56
53,Traci Fletcher,crichardson@example.com,44,Male,Lake Ryantown,1,Electronics,Cameras,330.88,4.56,30x16x50,53,01-15-2022,$1334.44,Two-day,Shipped,53,157,87,2021-03-01,10,Loganburgh,12104,9,Johnson-Rodriguez,Katherineborough,7.81
54,Erica Pruitt,abrown@example.com,41,Female,Mayerside,1,Electronics,Cameras,796.36,35.02,44x39x17,54,03-14-2023,€3724.24,Standard,Cancelled,54,683,387,2022-03-08,233,South Teresaton,8497,3,Johnson-Rodriguez,Katherineborough,7.4
55,John Gill,reedkimberly@example.org,65,Male,Port Brettmouth,48,Clothing,Jeans,886.11,30.12,17x45x9,55,2021-02-16,$1161.76,Standard,Cancelled,55,311,128,2022-04-25,279,North Jeanettefurt,17976,6,Morgan LLC,New Marktown,2.48
56,Erin Ellis,rothronnie@example.com,64,Male,Tabithaport,21,Furniture,Sofas,115.53,22.24,13x3x15,56,2021-12-29,€827.59,Standard,Delivered,56,418,127,2021-03-09,302,Nathanland,17898,6,Morgan LLC,New Marktown,2.48
57,Carrie Gonzalez,racheljames@example.org,32,Male,West Robert,8,Clothing,Shoes,437.44,36.61,30x45x34,57,2022-09-11,£915.36,Express,Pending,57,562,69,2020-10-10,153,North Tracyborough,15164,4,"Salas, Gonzalez and Todd",Jessicashire,2.35
58,James Avery,deborahdillon@example.net,51,Male,South Juan,11,Clothing,Hats,468.03,12.44,19x4x24,58,24/02/2022,€467.12,Express,Pending,58,233,173,2022-08-09,46,North Ronald,11398,4,"Salas, Gonzalez and Todd",Jessicashire,2.35
59,Mr. Thomas Diaz MD,kimberlywilson@example.com,64,Female,Lake Katie,4,Clothing,T-Shirts,550.82,36.07,5x21x20,59,2022-06-02,€412.92,Two-day,Cancelled,59,699,341,2020-11-17,11,South Katieshire,18348,6,Morgan LLC,New Marktown,2.48
60,Destiny Robinson,connercrystal@example.net,21,Male,Shannonton,48,Clothing,Jeans,496.17,20.38,43x17x44,60,2023-03-28,€650.13,Express,Delivered,60,559,466,2021-04-08,190,Suzannetown,5196,5,Morgan LLC,Port Robynmouth,1.23
61,Karen Adams,qalvarez@example.net,69,Female,Taylorbury,6,Furniture,Chairs,720.86,39.35,30x46x46,61,13/05/2021,$4992.5,Standard,Delivered,61,551,119,2022-07-08,405,Lake Sarabury,10368,6,Morgan LLC,New Marktown,2.48
62,Erica Morrow,hinesvictoria@example.net,61,Female,East Ericastad,16,Furniture,Tables,578.14,36.08,50x43x39,62,10/10/2020,€272.25,Standard,Cancelled,62,684,43,2021-02-18,369,North Melanie,17528,7,Miller Group,Clarkmouth,6.56
63,Haley Richardson,zacharyjohnson@example.org,36,Male,Bobbyburgh,21,Furniture,Sofas,817.36,16.63,41x50x35,63,09-06-2020,€3217.0,Standard,Cancelled,63,835,115,2021-03-10,69,Ericksonton,8471,3,Johnson-Rodriguez,Katherineborough,7.4
64,Darrell Mills,mstone@example.com,53,Female,Sharonborough,48,Clothing,Jeans,718.89,2.88,23x45x12,64,18/09/2021,€1336.2,Express,Pending,64,775,364,2021-10-14,426,North Cynthia,16963,2,Miller-Pearson,Clarkmouth,9.83
65,Lisa Burton,jennifer15@example.net,46,Female,Ryanside,8,Clothing,Shoes,351.97,0.52,42x8x47,65,30/05/2021,$139.0,Two-day,Shipped,65,983,285,2022-07-02,102,East Sandramouth,15189,4,"Salas, Gonzalez and Todd",Jessicashire,2.35
66,Jacob Harrison,mcgeekaren@example.com,49,Female,Alvarezside,3,Furniture,Cabinets,769.83,47.08,38x4x43,66,18/11/2020,£973.47,Standard,Pending,66,600,222,2021-06-29,57,Princemouth,6544,8,Parks-Gallegos,Jenkinsside,6.82
67,Philip Melton,michael51@example.com,47,Female,East Austin,6,Furniture,Chairs,563.05,1.44,13x18x19,67,10/11/2020,€2860.59,Standard,Delivered,67,818,464,2022-05-26,355,Duffyville,13215,0,Johnson-Rodriguez,Port Robynmouth,
68,Lindsey Olson,gardnershannon@example.net,44,Female,New Grantberg,11,Clothing,Hats,823.14,47.11,6x30x16,68,06/04/2022,€2360.15,Standard,Pending,68,307,24,2021-08-16,339,Phillipsside,10896,7,Miller Group,Clarkmouth,6.56
69,Amy Arnold,jennifer27@example.com,40,Female,East Hollytown,8,Clothing,Shoes,593.75,6.15,31x46x8,69,20/09/2020,£875.81,Standard,Delivered,69,405,499,2020-11-14,248,West Valerieton,18050,8,Parks-Gallegos,Jenkinsside,6.82
70,Nichole Hansen,glennyoung@example.net,61,Male,Hessshire,11,Clothing,Hats,244.77,22.98,3x40x9,70,05-05-2021,€2473.08,Express,Cancelled,70,325,65,2021-05-21,266,North Nancychester,5244,8,Parks-Gallegos,Jenkinsside,6.82
71,Andrea Garza,dillonmartinez@example.net,61,Female,North Brettmouth,3,Furniture,Cabinets,211.97,24.05,23x23x16,71,2021-09-01,$1454.24,Two-day,Cancelled,71,718,495,2021-11-11,170,Brianbury,14990,9,Johnson-Rodriguez,Katherineborough,7.81
72,Kelly Petty,sarah78@example.com,34,Male,Cuevashaven,0,Electronics,Smart Watches,217.56,46.89,50x13x8,72,03-14-2021,€2503.24,Two-day,Delivered,72,998,428,2021-07-04,274,East Jacobview,5558,1,"Salas, Gonzalez and Todd",Patriciaberg,8.21
73,William Jackson,williamhernandez@example.net,24,Female,North Monica,2,Electronics,Mobile Phones,180.06,43.97,5x27x27,73,2021-11-13,€1678.1,Two-day,Cancelled,73,275,147,2020-12-04,106,New Melanie,6702,7,Miller Group,Clarkmouth,6.56
74,Gregory Williams,swhite@example.org,43,Female,Lake Rebeccaport,1,Electronics,Cameras,414.21,41.46,42x5x10,74,27/08/2023,£1355.88,Two-day,Delivered,74,868,35,2022-03-02,64,Lake Robertport,14987,4,"Salas, Gonzalez and Todd",Jessicashire,2.35
75,Ashley Garrison,ray38@example.com,44,Female,Avilaburgh,0,Electronics,Smart Watches,688.31,41.36,12x1x5,75,31/03/2021,£611.4,Standard,Delivered,75,14,285,2021-03-08,187,Lisaborough,7675,8,Parks-Gallegos,Jenkinsside,6.82
76,Brooke Graham,jason06@example.com,44,Female,South Samuel,48,Clothing,Jeans,126.51,41.78,33x26x39,76,2023-05-05,£3047.32,Standard,Cancelled,76,679,290,2021-04-05,446,Duanefort,15926,7,Miller Group,Clarkmouth,6.56
77,Deanna Fisher,kerry15@example.net,24,Female,Morrisonton,0,Electronics,Smart Watches,126.43,37.89,34x50x36,77,17/10/2022,£1234.2,Standard,Pending,77,913,349,2020-10-03,226,East Daniel,17215,0,Johnson-Rodriguez,Port Robynmouth,
78,Gregory Crosby,fcarr@example.net,64,Female,Port Krista,4,Clothing,T-Shirts,125.76,25.13,20x4x7,78,2020-11-17,£4734.85,Standard,Pending,78,510,131,2020-12-09,182,Lake Christopher,10049,1,"Salas, Gonzalez and Todd",Patriciaberg,8.21
79,Kari Davis,mortonkristin@example.net,20,Male,North Joshuachester,3,Furniture,Cabinets,55.77,13.1,30x25x20,79,06/07/2021,€2644.4,Two-day,Shipped,79,641,147,2021-05-29,57,Princemouth,6544,4,"Salas, Gonzalez and Todd",Jessicashire,2.35
80,Stephanie Rivera,mcdonaldmichael@example.com,56,Female,West Bryanstad,16,Furniture,Tables,147.75,5.32,47x46x34,80,2021-11-02,£594.38,Two-day,Cancelled,80,956,406,2021-11-11,136,Jenniferfurt,7388,5,Morgan LLC,Port Robynmouth,1.23
81,Andrew Baker,lsmith@example.org,52,Male,New Christinefurt,3,Furniture,Cabinets,288.0,24.25,18x50x19,81,01-13-2021,£1463.96,Express,Delivered,81,47,318,2021-04-24,421,Kristinaton,10431,3,Johnson-Rodriguez,Katherineborough,7.4
82,Daniel George,chelsea08@example.com,65,Male,Wesleyburgh,0,Electronics,Smart Watches,664.26,31.25,3x45x38,82,12-20-2022,£974.92,Standard,Pending,82,346,170,2022-04-24,320,West Cindy,5650,1,"Salas, Gonzalez and Todd",Patriciaberg,8.21
83,Becky Day,granteddie@example.org,37,Male,South Christina,1,Electronics,Cameras,317.51,11.27,3x46x6,83,01/02/2022,$428.35,Express,Shipped,83,187,271,2021-09-03,408,Jacobhaven,6983,1,"Salas, Gonzalez and Todd",Patriciaberg,8.21
84,Courtney Weeks,jenniferpatrick@example.com,38,Male,Rodneystad,48,Clothing,Jeans,372.76,26.36,8x21x4,84,12-22-2020,$2493.15,Standard,Cancelled,84,998,352,2022-01-03,190,Suzannetown,5196,5,Morgan LLC,Port Robynmouth,1.23
85,Mark Fletcher,jamespatricia@example.com,46,Female,Pattersonport,3,Furniture,Cabinets,822.12,10.08,8x34x20,85,2021-08-01,€1193.05,Express,Shipped,85,662,160,2021-12-15,120,Sharonport,7476,6,Morgan LLC,New Marktown,2.48
86,Ryan Carroll,tamaraferguson@example.org,28,Female,North Destinyberg,16,Furniture,Tables,41.78,13.9,1x15x34,86,2023-03-15,€54.72,Two-day,Cancelled,86,635,25,2021-11-16,104,Martinezbury,14624,4,"Salas, Gonzalez and Todd",Jessicashire,2.35
87,Leah Leonard,elizabeth56@example.org,44,Male,Debraton,0,Electronics,Smart Watches,117.63,10.51,36x37x38,87,2021-07-14,€1706.98,Express,Cancelled,87,1000,103,2021-08-20,327,North Annview,13868,0,Johnson-Rodriguez,Port Robynmouth,
88,Brandy Gonzalez,vrobinson@example.org,24,Female,West Robin,13,Electronics,Headphones,588.66,5.95,48x19x10,88,12/01/2022,€2401.56,Express,Cancelled,88,580,354,2021-12-17,254,Nicholasside,8762,9,Johnson-Rodriguez,Katherineborough,7.81
89,Amber Chang,lisa11@example.com,47,Female,Lake Jessicaburgh,9,Furniture,Beds,647.6,11.76,31x26x25,89,02/03/2023,$712.36,Standard,Delivered,89,237,41,2021-02-04,39,New Samantha,8984,5,Morgan LLC,Port Robynmouth,1.23
90,Stanley Williamson,jarvisgrant@example.net,35,Female,Nealville,13,Electronics,Headphones,903.11,3.28,33x24x45,90,25/06/2022,£1894.02,Standard,Shipped,90,435,385,2021-05-02,350,Guzmanfort,14952,7,Miller Group,Clarkmouth,6.56
91,Arthur Gonzales,bellcrystal@example.com,47,Female,South Arthur,3,Furniture,Cabinets,497.98,42.02,38x6x24,91,03-15-2023,£186.64,Two-day,Shipped,91,651,290,2021-08-05,397,Port Catherineview,17948,4,"Salas, Gonzalez and Todd",Jessicashire,2.35
92,Benjamin Tucker,chad99@example.org,55,Female,Jessicamouth,0,Electronics,Smart Watches,117.2,34.05,28x22x32,92,13/04/2023,£508.73,Two-day,Shipped,92,471,353,2021-02-14,14,Burtonmouth,15203,6,Morgan LLC,New Marktown,2.48
93,Michelle Price,hware@example.com,33,Male,Lake Monicaview,13,Electronics,Headphones,339.76,13.78,40x5x15,93,12-18-2022,€142.16,Two-day,Shipped,93,932,135,2021-07-27,228,Kellyborough,16578,4,"Salas, Gonzalez and Todd",Jessicashire,2.35
94,Christina Miller,msosa@example.com,18,Female,Port Cathy,16,Furniture,Tables,246.25,11.51,3x15x23,94,2022-04-22,$395.42,Express,Shipped,94,89,129,2022-08-27,452,Brownmouth,12640,7,Miller Group,Clarkmouth,6.56
95,Adrian Gamble,lorraine97@example.org,36,Female,Farrellstad,10,Electronics,Laptops,941.25,8.24,5x33x45,95,22/02/2021,€521.35,Standard,Shipped,95,923,321,2021-09-06,369,North Melanie,17528,4,"Salas, Gonzalez and Todd",Jessicashire,2.35
96,Timothy Mitchell MD,michelle79@example.org,66,Female,West Timothy,48,Clothing,Jeans,171.1,16.39,26x46x36,96,2022-12-28,€1377.99,Two-day,Delivered,96,980,273,2021-01-28,44,Timothyberg,16501,3,Johnson-Rodriguez,Katherineborough,7.4
97,Joseph Perkins,roger71@example.net,39,Female,Dorismouth,21,Furniture,Sofas,808.92,12.19,14x15x24,97,2022-10-10,€1578.36,Two-day,Shipped,97,375,360,2021-11-18,304,Shannonbury,14107,5,Morgan LLC,Port Robynmouth,1.23
98,Nichole Myers,sphillips@example.org,26,Female,Port Alecmouth,4,Clothing,T-Shirts,42.33,13.49,47x15x48,98,2021-09-14,€1642.0,Express,Delivered,98,302,194,2022-08-07,346,West Linda,7748,6,Morgan LLC,New Marktown,2.48
99,Stephanie Simmons,romerotracy@example.net,26,Female,North Crystal,2,Electronics,Mobile Phones,434.15,20.06,22x32x10,99,2022-02-24,€1165.78,Express,Delivered,99,213,165,2022-04-02,418,East David,12671,9,Johnson-Rodriguez,Katherineborough,7.81
100,Kevin Arnold,,19,Female,Hodgesville,21,Furniture,Sofas,970.29,47.37,13x41x13,100,2021-06-13,€1233.72,Standard,Cancelled,100,190,167,2021-07-14,54,Jasonborough,15745,5,Morgan LLC,Port Robynmouth,1.23
101,Robert Lopez,rubenmcneil@example.org,44,Male,Lake Erikaport,48,Clothing,Jeans,13.03,30.41,26x4x25,101,2023-07-30,£105.09,Express,Cancelled,101,234,271,2022-01-22,229,Aaronport,16623,5,Morgan LLC,Port Robynmouth,1.23
102,Michelle White,jamesgill@example.com,42,Female,North Jenniferfurt,8,Clothing,Shoes,397.96,5.49,44x14x49,102,21/02/2021,£2981.0,Standard,Delivered,102,791,297,2021-07-10,355,Duffyville,13215,3,Johnson-Rodriguez,Katherineborough,7.4
103,Ricardo Powers,tyler29@example.org,61,Male,Alvarezfort,12,Clothing,Dresses,967.73,26.58,30x11x13,103,2023-08-08,£202.29,Express,Pending,103,571,121,2022-08-10,370,New Monica,7998,5,Morgan LLC,Port Robynmouth,1.23
